"dataset","cross.entropy.from.dropout","cross.entropy"
"acute",0.41,0.4
"ad",0.13,0.13
"adult",0.18,0.12
"arrhythmia",0.44,0.54
"balance-scale",0.52,0.54
"blood-transfusion",0.76,0.3
"breast-cancer-wisconsin",0.28,0.18
"bridges",0.77,0.63
"car",0.94,0.36
"cmc",0.52,0.5
"control1",0.5,0.49
"control2",0.32,0.51
"covtype",0.38,0.23
"credit-screening",0.55,0.31
"cylinder-bands",0.33,0.27
"dermatology",0.65,0.78
"echocardiogram",0.43,0.28
"ecoli",0.43,0.46
"glass",0.86,0.64
"haberman",0.45,0.26
"hayes-roth",0.49,0.53
"hepatitis",0.15,0.18
"horse-colic",0.5,0.53
"image",0.77,0.81
"ionosphere",0.54,0.39
"iris",0.56,0.79
"isolet",0.92,0.89
"kddcup",0.01,0
"king-rook-vs-king",0.85,0.77
"king-rook-vs-king-pawn",0.43,0.28
"letter-recognition",0.93,0.91
"lung-cancer",0.46,0.57
"magic",0.24,0.22
"mammographic-masses",0.36,0.39
"monks-problems",0.29,0.35
"mushroom",0.32,0.05
"nursery",0.5,0.45
"page-blocks",0.54,0.1
"parkinsons",0.25,0.28
"pima-indians-diabetes",0.26,0.4
"poker-hand",0.34,0.33
"postoperative-patient-data",0.72,0.78
"soybean",0.87,0.75
"spambase",0.57,0.37
"SPECT",0.22,0.21
"SPECTF",0.23,0.35
"tae",0.52,0.65
"tic-tac-toe",0.5,0.35
"voting-records",0.64,0.32
"wine",0.38,0.73
"yeast",0.96,0.71
"zoo",0.82,0.49
